description,price,star_rating,review_count,url
"Cherry MX RGB Mechanical Keyboard with MX Red Silent Gold-Crosspoint Key switches for typists, Programmers, Creator, Coder, Work in The Office or at Home G80-3000N RGB (TenKeyLess (TKL)",$69.99,4.6 out of 5 stars,54,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0984540S40SR9HJXGGW&qualifier=1672435482&id=2280802799226796&widgetName=sp_mtf&url=%2FMechanical-Gold-Crosspoint-Programmers-G80-3000N-TenKeyLess%2Fdp%2FB09G3GNDJF%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-12-spons%26psc%3D1
"DAREU EK815 Mechanical Gaming Keyboard, Rainbow Blacklit Gaming Mechinical Keyboard with Removable Double-Shot Keycaps, Anti-ghosting Gaming Keyboard, Full Size (Red Switch)",$49.99,4.4 out of 5 stars,90,https://www.amazon.com/DAREU-EK815-Mechanical-Double-Shot-Anti-ghosting/dp/B09PTDV9DW/ref=sr_1_13?keywords=mechanical+keyboard&qid=1672435482&sr=8-13
Redragon K582 SURARA RGB LED Backlit Mechanical Gaming Keyboard with 104 Keys-Linear and Quiet-Red Switches,$44.99,4.5 out of 5 stars,"4,212",https://www.amazon.com/Redragon-Mechanical-Keyboard-Keys-Linear-Quiet-Red/dp/B07KCRTN9Q/ref=sr_1_14?keywords=mechanical+keyboard&qid=1672435482&sr=8-14
"Corsair K60 RGB Pro Mechanical Gaming Keyboard - CHERRY Mechanical Keyswitches - Durable AluminumFrame - Customizable Per-Key RGB Backlighting, Black",$69.99,4.4 out of 5 stars,"1,883",https://www.amazon.com/Corsair-Mechanical-Gaming-Keyboard-Key/dp/B08L61WLW7/ref=sr_1_15?keywords=mechanical+keyboard&qid=1672435482&sr=8-15
"havit Mechanical Keyboard and Mouse Combo RGB Gaming 104 Keys Blue Switches Wired USB Keyboards with Detachable Wrist Rest, Programmable Gaming Mouse for PC Gamer Computer Desktop (Black)",$59.99,4.5 out of 5 stars,"11,067",https://www.amazon.com/Mechanical-Keyboard-Keyboards-Detachable-Programmable/dp/B07QS6MG8B/ref=sr_1_16?keywords=mechanical+keyboard&qid=1672435482&sr=8-16
Cherry MX 3.0 S Wired Mechanical Gaming Keyboard. Aluminum Housing Built for Gamers w/MX Red Silent Switches. RGB Backlit Color Display Over 16m Colors. from The Makers of MX. Full Size. Pure White.,$98.99,4.6 out of 5 stars,163,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05669743OMVQ41JD0C9M&qualifier=1672435482&id=2280802799226796&widgetName=sp_mtf&url=%2FCherry-Mechanical-Keyboard-Aluminum-Switches%2Fdp%2FB08YRGQSD1%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-17-spons%26psc%3D1%26smid%3DAK7PAPV76H5NA
"Owpkeenthy RGB Mechanical Keyboard 60 Percent Red Switches, Ultra-Compact Mini Wired Gaming Keybaord with Backlit PBT Dye-Sub Keycaps for Win/Mac/PC",$36.99,4.6 out of 5 stars,207,https://www.amazon.com/Owpkeenthy-Mechanical-Keyboard-Switches-Ultra-Compact/dp/B09XQ8MGPZ/ref=sr_1_18?keywords=mechanical+keyboard&qid=1672435482&sr=8-18
RK ROYAL KLUDGE Typewriter Style Mechanical Gaming Keyboard with True RGB Backlit Collapsible Wrist Rest 108-Key Blue Switch Retro Round Keycap - Black,$66.99,4.6 out of 5 stars,"4,720",https://www.amazon.com/RK-ROYAL-KLUDGE-Typewriter-Collapsible/dp/B07XVCP7F5/ref=sr_1_19?keywords=mechanical+keyboard&qid=1672435482&sr=8-19
"Redragon K556 RGB LED Backlit Wired Mechanical Gaming Keyboard, Aluminum Base, 104 Standard Keys",$59.99,4.6 out of 5 stars,"6,954",https://www.amazon.com/Redragon-K556-Mechanical-Keyboard-Aluminum/dp/B01NAI2TXC/ref=sr_1_20?keywords=mechanical+keyboard&qid=1672435482&sr=8-20
"DAREU EK815 Mechanical Gaming Keyboard, Rainbow Blacklit Gaming Mechinical Keyboard with Removable Double-Shot Keycaps, Anti-ghosting Gaming Keyboard, Full Size (Red Switch)",$49.99,4.4 out of 5 stars,90,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08098062MSIRMG7PWUBQ&qualifier=1672435482&id=2280802799226796&widgetName=sp_btf&url=%2FDAREU-EK815-Mechanical-Double-Shot-Anti-ghosting%2Fdp%2FB09PTDV9DW%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-21-spons%26psc%3D1
"COSTOM XVX L75 Wireless Mechanical Keyboard, Bluetooth/2.4Ghz/Wired Tri-Mode 75% Low Profile Gaming Keyboard, 84 Keys Compact RGB Keyboard w/Aluminum Frame Compatible with Mac Windows Red Switch",$84.99,nan,nan,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02568021Z1P8WDYD1HB3&qualifier=1672435482&id=2280802799226796&widgetName=sp_btf&url=%2FCOSTOM-Wireless-Mechanical-Bluetooth-Compatible%2Fdp%2FB0BLSW638H%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-22-spons%26psc%3D1
"MageGee Typewriter Mechanical Gaming Keyboard, Retro Punk Round Keycaps with RGB Rainbow Backlit USB Wired Keyboards for Game and Office, for Windows Laptop PC Mac - Blue Switches/Black",$39.99,4.5 out of 5 stars,802,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10100872OS3Z40Z6LKGP&qualifier=1672435486&id=6124470164899914&widgetName=sp_atf_next&url=%2FMageGee-Typewriter-Mechanical-Keyboard-Keyboards%2Fdp%2FB09DPFM5DH%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-17-spons%26psc%3D1
Cherry Stream Desktop - Wireless Keyboard and Mouse Combo - US Layout - QWERTY Keyboard - Black,$48.99,4.6 out of 5 stars,62,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0235407TKKSH812HCM8&qualifier=1672435486&id=6124470164899914&widgetName=sp_atf_next&url=%2FCherry-Stream-Desktop-Wireless-Keyboard%2Fdp%2FB08YRLGZGB%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-18-spons%26psc%3D1%26smid%3DAK7PAPV76H5NA
"Corsair K70 RGB TKL CHAMPION SERIES Tenkeyless Mechanical Gaming Keyboard (CHERRY MX Silent Keyswitches: Linear and Quiet , PBT Double-Shot Keycaps, Per-Key RGB LED Backlighting) QWERTY NA, Black",$109.99,4.7 out of 5 stars,807,https://www.amazon.com/Corsair-CHAMPION-Tenkeyless-Mechanical-Keyswitches/dp/B0B1J1X9C6/ref=sr_1_19?keywords=mechanical+keyboard&qid=1672435486&sr=8-19
"uhuru Mechanical Gaming Keyboard, UMK-100 Wired 60% 68 Keys Mechanical Keyboard with Palm Rest, Blue Switches, 20 RGB Backlights, Full Keys Anti-ghosting, Pro Driver Supported",$19.99,4.5 out of 5 stars,75,https://www.amazon.com/Mechanical-Keyboard-Backlights-Anti-ghosting-Supported/dp/B09M9J348D/ref=sr_1_21?keywords=mechanical+keyboard&qid=1672435486&sr=8-21
"Redragon Mechanical Gaming Keyboard, Hotswap Mechanical Gaming Keyboard with Red Switches,Fully Programmable Macro Editor Wired Keyboard 84 Keys Anti-Ghosting for Windows Mac PC Laptop, K629 RGB",$42.99,4.8 out of 5 stars,25,https://www.amazon.com/Redragon-Programmable-Anti-Ghosting-K629-RGB/dp/B0B8YTFL89/ref=sr_1_22?keywords=mechanical+keyboard&qid=1672435486&sr=8-22
"Camiysn Typewriter Style Mechanical Gaming Keyboard, Black Retro Punk Gaming Keyboard with RGB Backlit, 104 Keys Blue Switch Wired Cute Keyboard, Round Keycaps for Windows/Mac/PC",$39.99,4.6 out of 5 stars,"1,353",https://www.amazon.com/Typewriter-Mechanical-Keyboard-Backlit-Keycaps/dp/B09DK9CSTQ/ref=sr_1_23?keywords=mechanical+keyboard&qid=1672435486&sr=8-23
"Corsair K65 RGB MINI 60% Mechanical Gaming Keyboard (Customizable Per-Key RGB Backlighting, CHERRY MX Speed Mechanical Keyswitches, Detachable USB Type-C Cable, AXON Hyper-Processing Technology) Black",$69.99,4.7 out of 5 stars,857,https://www.amazon.com/Corsair-Customizable-Backlighting-Keyswitches-Hyper-Processing/dp/B08W2CSXLM/ref=sr_1_24?keywords=mechanical+keyboard&qid=1672435486&sr=8-24
"HUO JI E-Yooso Z-88 Typewriter Style Mechanical Gaming Keyboard USB Wired, Programmable RGB Backlit, Blue Switches - Clicky, Software Supported, Retro 104 Keys for Mac, PC, White",$49.99,4.7 out of 5 stars,"1,140",https://www.amazon.com/Mechanical-Programmable-Typewriter-Resistant-Anti-Ghosting/dp/B07ML3DXSR/ref=sr_1_25?keywords=mechanical+keyboard&qid=1672435486&sr=8-25
"Cherry MX RGB Mechanical Keyboard with MX Red Silent Gold-Crosspoint Key switches for typists, Programmers, Creator, Coder, Work in The Office or at Home G80-3000N RGB (Full Size)",$79.99,4.6 out of 5 stars,54,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03328142X7YKT97KH0XZ&qualifier=1672435486&id=6124470164899914&widgetName=sp_mtf&url=%2FMechanical-Keyboard-Gold-Crosspoint-Programmers-G80-3000N%2Fdp%2FB09M76TX3L%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-27-spons%26psc%3D1
"HUO JI E-Yooso Z-88 Typewriter Style Mechanical Gaming Keyboard USB Wired, Programmable RGB Backlit, Blue Switches - Clicky, Software Supported, Retro 104 Keys for Mac, PC, White",$49.99,4.7 out of 5 stars,"1,140",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08470781TRES54ADTJXS&qualifier=1672435486&id=6124470164899914&widgetName=sp_mtf&url=%2FMechanical-Programmable-Typewriter-Resistant-Anti-Ghosting%2Fdp%2FB07ML3DXSR%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-28-spons%26psc%3D1
"Logitech G915 Wireless Mechanical Gaming Keyboard (Clicky), Black",$212.99,4.6 out of 5 stars,"8,564",https://www.amazon.com/Logitech-Wireless-Mechanical-Gaming-Keyboard/dp/B07NY9ZT92/ref=sr_1_29?keywords=mechanical+keyboard&qid=1672435486&sr=8-29
ZIYOU LANG RK-T8 Wired 65% Mechanical Gaming Keyboard with RGB LED Backlit Anti-ghosting TKL Mini 68 Key Custom Coiled C to A Cable Tactile Blue Switch for PS4 PS5 Xbox PC Mac Gamer(Dark Gray/White),$45.99,4.1 out of 5 stars,48,https://www.amazon.com/ZIYOU-LANG-Mechanical-Keyboard-Anti-ghosting/dp/B0BD6X9TQZ/ref=sr_1_30?keywords=mechanical+keyboard&qid=1672435486&sr=8-30
"Hexgears X3 TKL 2.4ghz Wireless Mechanical Keyboard with Gold Kailh Box Switches, Lava Chocolate Tenkeyless Compact Keyboard for Gaming, Typing, Ergonomic 87-Key Typewriter Keyboard with Wrist Rest",$85.99,4.6 out of 5 stars,91,https://www.amazon.com/Mechanical-Chocolate-Tenkeyless-Ergonomic-Typewriter/dp/B09HKP7319/ref=sr_1_31?keywords=mechanical+keyboard&qid=1672435486&sr=8-31
Corsair K100 RGB Mechanical Gaming Keyboard - CHERRY MX SPEED RGB Silver Keyswitches - AXON Hyper-Processing Technology for 4x Faster Throughput - 44-Zone RGB LightEdge - PBT Double-Shot Keycaps,$229.99,4.7 out of 5 stars,"2,904",https://www.amazon.com/Corsair-K100-Mechanical-Gaming-Keyboard/dp/B08HR68MQZ/ref=sr_1_32?keywords=mechanical+keyboard&qid=1672435486&sr=8-32
RK ROYAL KLUDGE RK61 Wired 60% Mechanical Gaming Keyboard RGB Backlit Ultra-Compact Hot-Swappable Red Switch White,$56.99,4.6 out of 5 stars,"10,890",https://www.amazon.com/RK-ROYAL-KLUDGE-Mechanical-Ultra-Compact/dp/B089GN2KBT/ref=sr_1_33?keywords=mechanical+keyboard&qid=1672435486&sr=8-33
"E-YOOSO 60% Mechanical Keyboard, Red Switches Mechanical Gaming Keyboard Wired with LED Backlit, Ultra-Compact 60 Percent Computer Keyboard for Windows, Mac OS (Grey Black)",$22.99,4.5 out of 5 stars,950,https://www.amazon.com/Mechanical-Keyboard-YOOSO-Switches-Portable/dp/B098JTCN3L/ref=sr_1_34?keywords=mechanical+keyboard&qid=1672435486&sr=8-34
"EVGA Z15 RGB Gaming Keyboard, RGB Backlit LED, Hotswappable Mechanical Kailh Speed Silver Switches (Linear), 821-W1-15US-KR",$99.99,4.5 out of 5 stars,760,https://www.amazon.com/EVGA-Keyboard-Hotswappable-Mechanical-821-W1-15US-KR/dp/B08VNT658R/ref=sr_1_36?keywords=mechanical+keyboard&qid=1672435486&sr=8-36
"Womeir SK87 Hot Swappable Mechanical Keyboard, TKL Mechanical Keyboard, 80% Keyboard White, with Pudding Keycaps Compact RGB Gaming Keyboard for Gaming and Working (Red Switch, White)",$68.99,4.7 out of 5 stars,8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0188296MX704R5FHPIN&qualifier=1672435486&id=6124470164899914&widgetName=sp_btf&url=%2FSwappable-Mechanical-Keyboard-Pudding-Keycaps%2Fdp%2FB09PYJCH8X%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-37-spons%26psc%3D1
"Cherry Stream Wireless Keyboard with SX Scissors Mechanism, Slim Yet Full Size QWERTY Ergo Friendly with Number Pad, Thin Design with Quiet keystroke for use at Home Office or Work. Black",$45.26,4.3 out of 5 stars,43,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A081775114J3E6B4O3ISD&qualifier=1672435486&id=6124470164899914&widgetName=sp_btf&url=%2FCHERRY-Stream-Keyboard-Wireless-Mechanism%2Fdp%2FB09DPVQGSX%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435486%26sr%3D8-38-spons%26psc%3D1%26smid%3DAK7PAPV76H5NA
"HUO JI 65% Gaming Keyboard, E-YOOSO Z-686 Wired 68 Keys Mechanical Keyboard, Clicky Blue Switches, Led Backlit, Detachable Cable, Separate Arrow Keys - White/Grey",$20.99,4.5 out of 5 stars,84,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A048260715C31PQJNML59&qualifier=1672435487&id=8373255904444541&widgetName=sp_atf_next&url=%2FHUO-JI-Keyboard-Mechanical-Detachable%2Fdp%2FB0BLYY8KR1%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435487%26sr%3D8-33-spons%26psc%3D1
"Gaming Keyboard and Mouse Combo, K1 LED Rainbow Backlit Keyboard with 104 Key Computer PC Gaming Keyboard for PC/Laptop(Black & Gray)",$32.99,4.6 out of 5 stars,"11,709",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03748852BJ4G5BDH2ET1&qualifier=1672435487&id=8373255904444541&widgetName=sp_atf_next&url=%2FGaming-Keyboard-Rainbow-Backlit-Computer%2Fdp%2FB0B6HCZ482%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435487%26sr%3D8-34-spons%26psc%3D1
"RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (White-Gray)",$59.99,4.1 out of 5 stars,"1,559",https://www.amazon.com/RedThunder-Rechargeable-Mechanical-Anti-ghosting-White-Gray/dp/B09Z6B55XB/ref=sr_1_35?keywords=mechanical+keyboard&qid=1672435487&sr=8-35
"RK ROYAL KLUDGE RK61 Wireless 60% Triple Mode BT5.0/2.4G/USB-C Mechanical Keyboard, 61 Keys Bluetooth Mechanical Keyboard, Compact Gaming Keyboard with Software (Hot Swappable Blue Switch, White)",$52.99,4.5 out of 5 stars,"9,877",https://www.amazon.com/RK-ROYAL-KLUDGE-Ultra-Compact-Programmable/dp/B0731CJ4ZJ/ref=sr_1_36?keywords=mechanical+keyboard&qid=1672435487&sr=8-36
Glorious Custom Gaming Keyboard - GMMK 100% Percent Full Size - USB Wired Mechanical Keyboard - RGB Hot Swappable Switches & Keycaps - Silver/White Metal Top Plate,$71.60,4.7 out of 5 stars,"1,832",https://www.amazon.com/Glorious-Modular-Mechanical-Gaming-Keyboard/dp/B0921HYS71/ref=sr_1_37?keywords=mechanical+keyboard&qid=1672435487&sr=8-37
"Punkston TH61 60% Mechanical Gaming Keyboard,RGB Backlit Wired Ultra-Compact Mini Mechanical Keyboard Full Keys Programmable Black (Optical Blue Switch)",$32.99,4.6 out of 5 stars,"1,642",https://www.amazon.com/Punkston-TH61-Mechanical-Ultra-Compact-Programmable/dp/B08YN8XVMP/ref=sr_1_38?keywords=mechanical+keyboard&qid=1672435487&sr=8-38
SteelSeries New Apex Pro TKL Wireless 2023 Ed. - World's Fastest Mechanical Gaming Keyboard & Aerox 5 Wireless - Lightweight Wireless Gaming Mouse - 18000 CPI - TrueMove Air Optical Sensor,$294.98,4.8 out of 5 stars,"3,492",https://www.amazon.com/SteelSeries-New-Apex-Wireless-2023/dp/B0BM8Z2P15/ref=sr_1_39?keywords=mechanical+keyboard&qid=1672435487&sr=8-39
RK ROYAL KLUDGE RK98 Wireless Mechanical Keyboard Triple Mode 2.4G/BT5.1/USB-C 100 Keys Hot Swappable Brown Switches with Number Pad RGB Backlit 3750mAh Battery NKRO Gaming Keyboard Ergonomic Design,$79.99,4.7 out of 5 stars,46,https://www.amazon.com/RK-ROYAL-KLUDGE-Mechanical-Swappable/dp/B0B87N1714/ref=sr_1_40?keywords=mechanical+keyboard&qid=1672435487&sr=8-40
"Wireless Mechanical Keyboard,Triple Mode 2.4G/Type-C/Bluetooth Gaming Keyboard,104 Keys Programmable,Customize RGB Backlit,Red Switch,Bicolor PBT Keycaps, Rechargeable Wired Keyboard for Mac PC iPad",$45.99,4.5 out of 5 stars,33,https://www.amazon.com/Mechanical-Bluetooth-Programmable-Customize-Rechargeable/dp/B0B8NH1VT7/ref=sr_1_41?keywords=mechanical+keyboard&qid=1672435487&sr=8-41
"nuphy Air75 Mechanical Keyboard, 75% Low Profile Wireless Keyboard, Supports Bluetooth 5.0, 2.4G and Wired Connection, Compatible with Windows and Mac OS Systems-Gateron Brown Switch",$129.99,4.5 out of 5 stars,660,https://www.amazon.com/Air75-Mechanical-Connection-Compatible-Systems-Gateron/dp/B09KG6MSVH/ref=sr_1_42?keywords=mechanical+keyboard&qid=1672435487&sr=8-42
"COSTOM XVX M84 Hot Swappable Wireless Mechanical Keyboard, 75% Layout TKL Gaming Keyboard, N-Key Rollover RGB Backlit Custom Keyboard for Windows Mac PC Gamers(Izakaya Theme, Gateron Yellow Switch)",$87.99,4.4 out of 5 stars,175,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0831394VLC0WHBDAKX4&qualifier=1672435487&id=8373255904444541&widgetName=sp_mtf&url=%2FCOSTOM-Swappable-Wireless-Mechanical-Keyboard%2Fdp%2FB0B3XKVLDD%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435487%26sr%3D8-43-spons%26psc%3D1
"JIDOHUN KB-113 Mechanical Gaming Keyboard, Wired Keyboard with RGB Backlit, Quiet Red Switches, Customized Macros, 87 Keys Tenkeyless Design for Windows PC Laptop Desktop",$27.99,5.0 out of 5 stars,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A001818611L56522BGH21&qualifier=1672435487&id=8373255904444541&widgetName=sp_mtf&url=%2FJIDOHUN-Mechanical-Keyboard-Customized-Tenkeyless%2Fdp%2FB0B9417T5Y%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435487%26sr%3D8-44-spons%26psc%3D1
"Redragon K630 Dragonborn 60% Wired RGB Gaming Keyboard, 61 Keys Compact Mechanical Keyboard with Tactile Brown Switch, Pro Driver Support, White",$49.99,4.7 out of 5 stars,"1,180",https://www.amazon.com/Redragon-K630-Dragonborn-Keyboard-Mechanical/dp/B08YMZBY6H/ref=sr_1_45?keywords=mechanical+keyboard&qid=1672435487&sr=8-45
"RK ROYAL KLUDGE RK61 2.4Ghz Wireless/Bluetooth/Wired 60% Mechanical Keyboard, 61 Keys RGB Hot Swappable Blue Switch Gaming Keyboard with Software for Win/Mac",$54.99,4.5 out of 5 stars,"7,790",https://www.amazon.com/Mechanical-Keyboard-Wireless-Bluetooth-Programmer/dp/B07P6XYS3V/ref=sr_1_46?keywords=mechanical+keyboard&qid=1672435487&sr=8-46
"Redragon K552 Mechanical Gaming Keyboard RGB LED Backlit Wired with Anti-Dust Proof Switches for Windows PC (Black, 87 Key Blue Switches)",$33.99,4.7 out of 5 stars,"14,036",https://www.amazon.com/Redragon-K552-RGB-Mechanical-Keyboard-Construction/dp/B019O9BLVY/ref=sr_1_47?keywords=mechanical+keyboard&qid=1672435487&sr=8-47
"VELOCIFIRE Wireless Bluetooth Mechanical Keyboard, M1 TKL61WS 61-Key 60% Tactile Brown Switch Mini Portable Mechanical Keyboard with Ice Blue Backlit, Compatible with Mac OS and Windows OS(Black)",$23.99,4.3 out of 5 stars,195,https://www.amazon.com/Wireless-Mechanical-Velocifire-Bluetooth-Compatible/dp/B08GLBVFFL/ref=sr_1_48?keywords=mechanical+keyboard&qid=1672435487&sr=8-48
Merdia Mechanical Keyboard Gaming Keyboard with Blue Switch Wired White Led Backlit Keyboard Full Size 104 Keys US Layout(Black & Grey),$32.90,4.5 out of 5 stars,881,https://www.amazon.com/Merdia-Mechanical-Keyboard-Gaming-Backlit/dp/B08JTXJQCD/ref=sr_1_49?keywords=mechanical+keyboard&qid=1672435487&sr=8-49
